x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89632.5674883,43129.4506411,0.0,0.0,0.0,0.8908735393706145,0.4542514026937883,4.0
89630.62222222,43132.1111111,0.0,0.0,0.0,0.8908735393706145,0.4542514026937883,8.0
89629.0,43134.325951,0.0,0.0,0.0,0.8908735393706145,0.4542514026937883,12.0
89628.3148229,43135.2623103,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,21.0
89627.0,43137.05914,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,22.0
89626.5962446,43137.61091,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,23.0
89624.8893618,43139.9435266,0.0,0.0,0.0,0.8866177348157583,0.46250296465014545,24.0
89623.1819638,43142.2768473,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,25.0
89621.4806511,43144.6018519,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,26.0
89619.7813115,43146.9241601,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,27.0
89618.100974,43149.2205001,0.0,0.0,0.0,0.8817338975541988,0.47174710799736924,28.0
89616.4459781,43151.4822084,0.0,0.0,0.0,0.8747329353994254,0.48460529477865233,29.0
89614.8648117,43153.6430217,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,30.0
89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,31.0
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,32.0
89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,33.0
89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,34.0
89616.038489,43165.5320151,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,35.0
89618.9507637,43164.9975904,0.0,0.0,0.0,-0.17146598580861655,0.9851900404037179,36.0
89622.0102618,43162.5815156,0.0,0.0,0.0,-0.3722981364651079,0.9281131922263619,37.0
89626.8840814,43156.2104518,0.0,0.0,0.0,-0.43347161461633327,0.9011672205101054,38.0
89628.3384085,43153.9980710,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,39.0
89630.2816511,43150.1709457,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,40.0
89632.1528769,43146.6169682,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,41.0
89632.8826044,43145.1035412,0.0,0.0,0.0,-0.569086621168504,0.8222775794140417,42.0
89633.8338945,43143.6449589,0.0,0.0,0.0,-0.4771213576660648,0.878837419582764,43.0
89634.4522925146,43142.3315358,0.0,0.0,0.0,-0.551099706575186,0.8344394006833233,44.0
89635.60967857075,43140.9778571,0.0,0.0,0.0,-0.5186828293851513,0.8549667376576787,45.0
89636.45844299185,43139.7085921,0.0,0.0,0.0,-0.49334011371928826,0.8698364973921476,46.0
89637.12346221996,43139.1233437,0.0,0.0,0.0,-0.3526139839977672,0.9357688701219027,47.0
89638.0,43138.4575547,0.0,0.0,0.0,-0.3526139839977672,0.9357688701219027,48.0
89639.4128636586,43137.6608194,0.0,0.0,0.0,-0.23236978424659124,0.9726275152231674,49.0
89640.4,43137.4384286,0.0,0.0,0.0,-0.23236978424659124,0.9726275152231674,50.0
89641.70226509725,43137.25693416836,0.0,0.0,0.0,-0.05440574292758456,0.9985189107555739,51.0
89642.82516461308,43137.12490684848,0.0,0.0,0.0,0.16067803779135187,0.9870068734165537,52.0
89643.0,43137.3067579,0.0,0.0,0.0,0.16067803779135187,0.9870068734165537,53.0
